"location","source","target"
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_list_tab.html:7 gnowsys_ndf/ndf/templates/ndf/base_templates/file_list_tab.html:13 gnowsys_ndf/ndf/templates/ndf/base_templates/group.html:74 gnowsys_ndf/ndf/templates/ndf/base_templates/group.html:79 gnowsys_ndf/ndf/templates/ndf/base_templates/pandoracollection.html:10 gnowsys_ndf/ndf/templates/ndf/base_templates/pandoracollection.html:17","Search Results:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_list_tab.html:7 gnowsys_ndf/ndf/templates/ndf/base_templates/forum.html:80 gnowsys_ndf/ndf/templates/ndf/base_templates/group.html:74 gnowsys_ndf/ndf/templates/ndf/base_templates/page_list.html:127","Found",
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_list_tab.html:128","This group doesn't have any collections.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_list_tab.html:130 gnowsys_ndf/ndf/templates/ndf/base_templates/file_list_tab.html:138","Sorry, No such files found.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_list_tab.html:135","No files have been uploaded yet.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_search.html:40","Posted by:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_search.html:41","size:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_search.html:42","file Type:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_search.html:43","Tags:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_search.html:53","<span>No file found. Please try using some other keyword</span>",
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_statistics.html:58","Bar-Chart",
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_statistics.html:59","Pie",
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_statistics.html:61 gnowsys_ndf/ndf/templates/ndf/base_templates/uDashboard.html:26","Activity Ratings",
"gnowsys_ndf/ndf/templates/ndf/base_templates/file_statistics.html:187","Total Rating Score",
"gnowsys_ndf/ndf/templates/ndf/base_templates/filters.html:125","Filter Resources",
"gnowsys_ndf/ndf/templates/ndf/base_templates/filters.html:133 gnowsys_ndf/ndf/templates/ndf/base_templates/filters.html:154 gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:307 gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:312 gnowsys_ndf/ndf/templates/ndf/base_templates/student_list.html:207 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:687","Select",
"gnowsys_ndf/ndf/templates/ndf/base_templates/filters.html:157","Filter",
"gnowsys_ndf/ndf/templates/ndf/base_templates/filters.html:278","No values for the key",
"gnowsys_ndf/ndf/templates/ndf/base_templates/filters.html:420 gnowsys_ndf/ndf/templates/ndf/base_templates/filters.html:498","Remove this filter",
"gnowsys_ndf/ndf/templates/ndf/base_templates/filters.html:533","is already applied",
"gnowsys_ndf/ndf/templates/ndf/base_templates/filters.html:583","Please select the proper filter first",
"gnowsys_ndf/ndf/templates/ndf/base_templates/footer.html:31","Partners",
"gnowsys_ndf/ndf/templates/ndf/base_templates/footer.html:32 gnowsys_ndf/ndf/templates/ndf/base_templates/group.html:12","Groups",
"gnowsys_ndf/ndf/templates/ndf/base_templates/footer.html:33","Terms of Service",
"gnowsys_ndf/ndf/templates/ndf/base_templates/footer.html:34","Privacy Policy",
"gnowsys_ndf/ndf/templates/ndf/base_templates/footer.html:35","Contribute",
"gnowsys_ndf/ndf/templates/ndf/base_templates/footer.html:36","Contact",
"gnowsys_ndf/ndf/templates/ndf/base_templates/footer.html:38","Issues",
"gnowsys_ndf/ndf/templates/ndf/base_templates/footer.html:40 gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:67 gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:190","Feedback",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forum.html:34","Forums",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forum.html:44 gnowsys_ndf/ndf/templates/ndf/base_templates/forumdetails.html:64","Create Forum",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forum.html:65","All Forums",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forum.html:87","Search Results",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forum.html:87","matched your search criteria",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forumdetails.html:52","Other Forums",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forumdetails.html:82","<h3> &nbsp;Add thread to this forum</h3>",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forumdetails.html:84"," Create &nbsp;Thread ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forumdetails.html:156","Thread Name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forumdetails.html:157","Thread Content",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forumdetails.html:158","Total Reply",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forumdetails.html:159","Latest Activity",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forumdetails.html:206","This forum dosen&#39t have any threads. Be the first to create a thread",
"gnowsys_ndf/ndf/templates/ndf/base_templates/forumdetails.html:274"," This forum has  %(thread_count)s  existing threads.Please remove them and try again ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_detail.html:146","You have not added any content to this course yet",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:131 gnowsys_ndf/ndf/templates/ndf/base_templates/node_edit_base.html:10 gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_details.html:98 gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:339 gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:353","Edit ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:131 gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:339","eCourse",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:134","Edit Event Structure",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:136","Add Course Structure",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:136","Add Event Structure",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:155","Manage Students",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:155","Manage Members",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:241 gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:317 gnowsys_ndf/ndf/templates/ndf/base_templates/gevent_base.html:94","Notebook",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:254 gnowsys_ndf/ndf/templates/ndf/base_templates/node_edit_base.html:364 gnowsys_ndf/ndf/templates/ndf/base_templates/quiz.html:31 gnowsys_ndf/ndf/templates/ndf/base_templates/quiz.html:47 gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:26 gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:267 gnowsys_ndf/ndf/templates/ndf/base_templates/user_profile_form.html:126","Quiz",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:258 gnowsys_ndf/ndf/templates/ndf/base_templates/lms.html:74","Group Progress",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:264 gnowsys_ndf/ndf/templates/ndf/base_templates/lms.html:76","Progress",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gcourse_event_group.html:272 gnowsys_ndf/ndf/templates/ndf/base_templates/uDashboard.html:285","Dashboard",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gevent_base.html:9","Unit: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gevent_base.html:41 gnowsys_ndf/ndf/templates/ndf/base_templates/lms.html:152","Manage Users",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gevent_base.html:55","Export to ePub",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gevent_base.html:80 gnowsys_ndf/ndf/templates/ndf/base_templates/lms.html:50","Lessons",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gevent_base.html:88 gnowsys_ndf/ndf/templates/ndf/base_templates/lms.html:95","Assets",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gevent_base.html:91 gnowsys_ndf/ndf/templates/ndf/base_templates/lms.html:99 gnowsys_ndf/ndf/templates/ndf/base_templates/lms.html:104","Assessments",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gevent_base.html:133 gnowsys_ndf/ndf/templates/ndf/base_templates/lms.html:140 gnowsys_ndf/ndf/templates/ndf/base_templates/module_detail.html:74","Delete Unit:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gevent_base.html:135 gnowsys_ndf/ndf/templates/ndf/base_templates/lms.html:142","Are you sure want to delete this unit?",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gevent_base.html:174","Epub will be downloaded automatically.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gheader.html:87 gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:46","Menu",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gheader.html:105 gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:64 gnowsys_ndf/ndf/templates/ndf/base_templates/repository.html:19","Repository",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gheader.html:161 gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:198","MY COURSES",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gheader.html:178 gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:217","EXPLORE",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gheader.html:214 gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:269 gnowsys_ndf/ndf/templates/ndf/base_templates/header_clix.html:139 gnowsys_ndf/ndf/templates/ndf/base_templates/header_clix.html:183 gnowsys_ndf/ndf/templates/ndf/base_templates/header_oer_clix.html:151 gnowsys_ndf/ndf/templates/ndf/base_templates/header_oer_clix.html:195 gnowsys_ndf/ndf/templates/registration/password_change_form.html:12 gnowsys_ndf/ndf/templates/registration/password_change_form.html:16 gnowsys_ndf/ndf/templates/registration/password_reset_confirm.html:34","Change Password",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gheader.html:217","Analytics",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gheader.html:221","Admin Data",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gheader.html:224","Admin Designer",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gheader.html:228","Home Dashboard",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gheader.html:234 gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:325 gnowsys_ndf/ndf/templates/ndf/base_templates/header_clix.html:144 gnowsys_ndf/ndf/templates/ndf/base_templates/header_clix.html:188 gnowsys_ndf/ndf/templates/ndf/base_templates/header_oer_clix.html:156 gnowsys_ndf/ndf/templates/ndf/base_templates/header_oer_clix.html:200","Logout",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gheader.html:256 gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:351 gnowsys_ndf/ndf/templates/ndf/base_templates/header_clix.html:152 gnowsys_ndf/ndf/templates/ndf/base_templates/header_clix.html:206 gnowsys_ndf/ndf/templates/ndf/base_templates/header_oer_clix.html:164 gnowsys_ndf/ndf/templates/ndf/base_templates/header_oer_clix.html:218 gnowsys_ndf/ndf/templates/ndf/base_templates/landing_page_clix.html:38 gnowsys_ndf/ndf/templates/registration/login.html:4 gnowsys_ndf/ndf/templates/registration/login.html:86 gnowsys_ndf/ndf/templates/registration/login_clix.html:8 gnowsys_ndf/ndf/templates/registration/login_clix.html:95","Login",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gheader.html:471 gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:593","RSS Feeds may not be displayed properly in this browser. Would you still like to continue?",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gnotebook.html:106","Blog",
"gnowsys_ndf/ndf/templates/ndf/base_templates/gnotebook.html:106 gnowsys_ndf/ndf/templates/ndf/base_templates/node_edit_base.html:71","Note",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group.html:31","<p>Groups are an easy way to share content and conversation, either privately or with the world. Many times, a group already exist for a specific interest or topic. If you can't find one you like, feel free to start your own.</p>
<h5>How do groups work?</h5>
<p>Groups can either be public, restricted (users may read a brief description or overview but not view content) or completely private. Every group has a wiki, a pool for resources, and a discussion board for talking.</p>",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group.html:64","All Groups",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group.html:80"," No %(title|lower)s%(group_nodes_count|pluralize)s matched your search criteria ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group.html:120 gnowsys_ndf/ndf/templates/ndf/base_templates/uDashboard.html:184","created",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group.html:120 gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:258 gnowsys_ndf/ndf/templates/ndf/base_templates/uDashboard.html:184","ago",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group.html:122","Members",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group.html:124","Objects",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group.html:142"," <h5>There are no groups created yet. <b>Be the first to create a Group!</b></h5> ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:101","
    <b> Group Dashboard </b> Shows the tasks and activities on the site.
  ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:193","Approval",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:199 gnowsys_ndf/ndf/templates/ndf/base_templates/unit_player.html:22","Activity",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:203","Calendar",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:215","Enrollment Details",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:220 gnowsys_ndf/ndf/templates/ndf/base_templates/mis_list.html:258 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:522","S. #",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:250","Approval Details",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:328"," No more data to show",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:370","Please select the image type file!",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:424 gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:464 gnowsys_ndf/ndf/templates/ndf/base_templates/widget_photo_upload.html:233","Only image files should be selected for setting your profile picture!",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:553","Students have been approved",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:606","Do you want to continue approving the selected students?",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_dashboard.html:609","Do you want to continue rejecting the selected students?",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_detail.html:40 gnowsys_ndf/ndf/templates/ndf/base_templates/module_detail.html:31","Subject:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_detail.html:41 gnowsys_ndf/ndf/templates/ndf/base_templates/module_detail.html:32","Class / Grade: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/group_detail.html:72 gnowsys_ndf/ndf/templates/ndf/base_templates/index_oer.html:59 gnowsys_ndf/ndf/templates/ndf/base_templates/module_detail.html:87","Description: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:189","MY DASHBOARD",
"gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:206","MY GROUPS",
"gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:444","APPS",
"gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:466 gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:476","Updates",
"gnowsys_ndf/ndf/templates/ndf/base_templates/header.html:531","BACK",
"gnowsys_ndf/ndf/templates/ndf/base_templates/hierarchy_tree.html:253","No Resources",
"gnowsys_ndf/ndf/templates/ndf/base_templates/horizontal_card.html:37","No. of Units",
"gnowsys_ndf/ndf/templates/ndf/base_templates/horizontal_card.html:51","Class / Grade",
"gnowsys_ndf/ndf/templates/ndf/base_templates/html_editor.html:20","  %(content)s ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:14 gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:192 gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:200 gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:257 gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:269 gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:287 gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:304","Please select",
"gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:30 gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:65 gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:122","Please fill a valid",
"gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:165","Please fill valid",
"gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:179","Please set",
"gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:207","Click here to view ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:228","Upload! ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:262 gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:280 gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:292"," - - - Select %(alt)s - - - ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:264"," %(choice)s ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:282 gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:297"," %(alt)s ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/html_field_widget.html:307 gnowsys_ndf/ndf/templates/notification/notice_settings.html:52 gnowsys_ndf/notification/templates/notification/notice_settings.html:52","Change",
"gnowsys_ndf/ndf/templates/ndf/base_templates/invite_admins.html:38 gnowsys_ndf/ndf/templates/ndf/base_templates/invite_users.html:34","Notification mails sent to newly selected users",
"gnowsys_ndf/ndf/templates/ndf/base_templates/invite_admins.html:42 gnowsys_ndf/ndf/templates/ndf/base_templates/invite_users.html:38","Notification mails sent to all users except group owner",
"gnowsys_ndf/ndf/templates/ndf/base_templates/invite_admins.html:54 gnowsys_ndf/ndf/templates/ndf/base_templates/invite_users.html:50","Successfully applied modifications and e-mail notifications sent",
"gnowsys_ndf/ndf/templates/ndf/base_templates/invite_admins.html:114 gnowsys_ndf/ndf/templates/ndf/base_templates/invite_users.html:110","Type here and press enter to search users",
"gnowsys_ndf/ndf/templates/ndf/base_templates/invite_admins.html:152","Subscribe Admins",
"gnowsys_ndf/ndf/templates/ndf/base_templates/invite_admins.html:158","<h2>Select Admins</h2>",
"gnowsys_ndf/ndf/templates/ndf/base_templates/invite_admins.html:163","<label><input type=""checkbox"" id=""adminchecknotif"" value=""ON"">
            Send notification mails to all except the group owner</label>",
"gnowsys_ndf/ndf/templates/ndf/base_templates/invite_admins.html:167 gnowsys_ndf/ndf/templates/ndf/base_templates/mis_base_list.html:49 gnowsys_ndf/ndf/templates/ndf/base_templates/mis_create_edit.html:211 gnowsys_ndf/ndf/templates/ndf/base_templates/mis_create_edit.html:317","&#215",
"gnowsys_ndf/ndf/templates/ndf/base_templates/invite_users.html:56","failed to subscribe",
"gnowsys_ndf/ndf/templates/ndf/base_templates/invite_users.html:155 gnowsys_ndf/ndf/templates/ndf/base_templates/invite_users.html:157","Subscribe Users",
"gnowsys_ndf/ndf/templates/ndf/base_templates/invite_users.html:162","<h2>Select Users</h2>",
"gnowsys_ndf/ndf/templates/ndf/base_templates/invite_users.html:167","Send notification mails to all except the group owner",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp.html:10","Upload Jhapp",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:9","Insert Assessment",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:14","Add Assessment",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:18","Insert Tools",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:23","Insert Open Story Tool",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:26","Insert PoliceQuad En",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:29","Insert PoliceQuad Hi",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:32","Insert PoliceQuad Te",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:35","Insert Geogebra Geometric Reasoning",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:38","Insert Run Kitty Run (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:41","Insert Run Kitty Run (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:44","Insert Run Kitty Run (te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:47","Insert TurtleJS",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:56","Geogebra Proportional Reasoning 1",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:59","Geogebra Proportional Reasoning 2 A1 Q1",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:62","Geogebra Proportional Reasoning 2 A1 Q3",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:65","Geogebra Proportional Reasoning 2 A2 Q1",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:70","Insert Physics Video Player",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:73","Insert PR_U1_L1_A1_FST (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:76","Insert PR_U1_L1_A2_FST (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:79","Insert PR_U1_L1_A3_FST (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:82","Insert PR_U1_L1_A4_FST (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:85","Insert PR_U1_L2_A1_FST (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:88","Insert PR_U1_L2_A2_FST (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:91","Insert PR_U1_L2_A3_FST (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:94","Insert PR_U1_L2_A4_FST (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:97","Insert PR_U1_L3_A1_FST (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:100","Insert PR_U1_L3_A2_FST (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:103","Insert PR_U1_L3_A3_FST (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:106","Insert PR_U1_L1_A1_FST (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:109","Insert PR_U1_L1_A2_FST (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:112","Insert PR_U1_L1_A3_FST (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:115","Insert PR_U1_L1_A4_FST (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:118","Insert PR_U1_L2_A1_FST (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:121","Insert PR_U1_L2_A2_FST (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:124","Insert PR_U1_L2_A3_FST (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:127","Insert PR_U1_L2_A4_FST (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:130","Insert PR_U1_L3_A1_FST (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:133","Insert PR_U1_L3_A2_FST (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:136","Insert PR_U1_L3_A3_FST (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:139","Insert PR_U1_L1_A1_FST (Te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:142","Insert PR_U1_L1_A2_FST (Te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:145","Insert PR_U1_L1_A3_FST (Te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:148","Insert PR_U1_L1_A4_FST (Te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:151","Insert PR_U1_L2_A1_FST (Te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:154","Insert PR_U1_L2_A2_FST (Te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:157","Insert PR_U1_L2_A3_FST (Te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:160","Insert PR_U1_L2_A4_FST (Te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:163","Insert PR_U1_L3_A1_FST (Te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:166","Insert PR_U1_L3_A2_FST (Te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:169","Insert PR_U1_L3_A3_FST (Te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:182","Insert PR_U2_L2_A1_RP",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:185","Insert PR_U2_L2_A2_RP ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:187","Insert PR_U2_L2_A3_RP ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:189","Insert PR_U2_L2_A4_RP ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:191","Insert PR_U2_L2_A5_RP ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:193","Insert PR_U2_L2_A6_RP ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:199","Insert PR_U3_L4_A1_ICL (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:202","Insert PR_U3_L4_A2_ICL (en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:205","Insert PR_U3_L4_A1_ICL (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:208","Insert PR_U3_L4_A2_ICL (hi)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:211","Insert PR_U3_L4_A1_ICL (te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:214","Insert PR_U3_L4_A2_ICL (te)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:217","Insert Find the rate",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:223","Insert StarLogoNOVA_Anemia1(en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:226","Insert StarLogoNOVA_Anemia2(en)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/jhapp_list.html:229","Insert StarLogoNOVA_Anemia1(hi)",
